star_id,ra,dec,parallax_mas,dist_pc,pmra,pmdec,radial_velocity,g_mag,bp_rp,v_mag,abs_g,teff_gspphot,mass_flame,age_flame,phot_origin,source_catalogue,l,b,x_pc,y_pc,z_pc,teff_color,rgb_r,rgb_g,rgb_b,rgb_hex,mass_est,U,V,W,simbad_main_id,proper_name,sp_type,star_class
Gaia DR3 5895265380327966464,213.30650650722762,-56.741262094420925,85.72400424040188,11.665344017244333,354.0132451245137,179.06854327866327,52.757225036621094,9.343476,2.149866,10.1946945,9.008988540993421,3396.869140625,,,native_gaia,Gaia,314.009758924341,4.3610616523409576,8.081391691109275,-8.365674094647504,0.88704921941898,3628.1532845846036,255,204,148,#FFCC94,0.4915471234544028,51.972703727569595,-22.584923309300013,7.306579363126204,CD-56  5362,,M2V:,Main sequence
Gaia DR3 2030861099681010304,300.0256999403315,30.964601663914884,85.67580143318006,11.671907157821176,377.3816499036323,1279.193298968855,-30.571386337280273,14.3020525,4.0410805,16.851318,13.966343375972052,,,,native_gaia,Gaia,67.91489664899512,0.5367101381319022,4.388250300923909,10.81502298733941,0.1093333460504737,2723.5678100585938,255,174,89,#FFAE59,0.12600969872083845,-77.51514244359724,-1.7355017451917047,19.19776064938844,LSR J2000+3057,,M6Ve,Main sequence
Gaia DR3 5334356223546958464,171.15924236861943,-61.648013531415735,85.61287068169932,11.680486730995236,-556.6564604972673,88.84531546165296,5.035159587860107,8.075447,1.8037624,8.694582,7.738142380546407,3844.5712890625,0.6284772753715515,10.292187690734863,native_gaia,Gaia,292.81857054032446,-0.4925061633420626,4.529693107211257,-10.765944917222338,-0.10040252373898378,3920.1750887357275,255,210,161,#FFD2A1,0.5863918639687767,-26.385827687038105,-16.51285559485472,-5.540924426136637,HD  99279B,,K7-V(k),Main sequence
Gaia DR3 5723739672264914176,127.13972607496012,-13.155389282912278,85.60140584357408,11.682051131582764,-581.8635454656672,27.504781771403728,,17.581934,4.69269,20.816332,17.244338461286162,,,,native_gaia,Gaia,236.38768677436823,14.630260265290238,-6.257157915067001,-9.41339020546292,2.950657266868403,2600.0,255,170,81,#FFAA51,,,,,SSSPM J0829-1309,,L2,Brown dwarf
Gaia DR3 4763897739549071744,76.44711331099732,-57.553300885193075,85.53008720973203,11.691792123955826,-32.628478447540196,119.50834733767653,-1.1345806121826172,8.285325,1.7791142,8.889155,7.945919624616657,,,,native_gaia,Gaia,266.12835791497963,-36.66980499353647,-0.633208101159516,-9.356473189708195,-6.982367794716432,3954.303351182204,255,211,163,#FFD3A3,0.5745188785933338,-6.202451478108728,2.849726505888959,-1.3563688909398754,CD-57  1079,,K7Vk,Main sequence
Gaia DR3 4763906879239461632,76.3774682786158,-57.47218051585344,85.52329311905011,11.692720936365024,-31.90284638111717,117.94036172750553,-1.4497199058532715,4.550013,0.7088733,4.6702185,4.210435141630352,6038.380859375,1.088836669921875,3.6974847316741943,native_gaia,Gaia,266.03302573724875,-36.71602644208862,-0.6484366954241714,-9.350527089961728,-6.990486098092762,6139.728445573286,255,245,245,#FFF5F5,1.0589185715858522,-6.100927109729055,3.0781288116623426,-1.1265155842162107,* zet Dor,,F9VFe-0.5,Main sequence
HIP 73470,225.23310947704076,45.427855219174276,85.4800033569336,11.69864273071289,241.1199951171875,370.510009765625,,8.552425,1.8563715,9.15,8.211748123168945,,,,transformed_from_johnson,Hipparcos,76.99837149758355,58.4680745388263,1.376438218310462,5.9612359110715625,9.97132518698426,3857.2222267709126,255,209,158,#FFD19E,0.5590059280395507,,,,BD+45  2247,,M0V,Main sequence
Gaia DR3 6213248060043565184,230.55627655949746,-27.825797312308065,85.47315562000797,11.699579742273084,436.3690044056893,606.7652807971804,6.598341464996338,11.938525,2.7570124,13.266268,11.59767389068488,,,,native_gaia,Gaia,339.2938402028019,24.200839851041405,9.98204669305176,-3.773127565841044,4.796083645583298,3311.3065120152064,255,194,128,#FFC280,0.24316282765205835,14.77755398657413,36.642312711821965,14.166497797657808,L  623-94,,dM4.5,Main sequence
Gaia DR3 1182574753387703680,226.7214820355615,13.351625200859788,85.42497964479966,11.706177796682402,-1071.0732611087783,-11.799813852140696,,18.361835,4.848688,21.763018,18.019759899668486,,,,native_gaia,Gaia,16.20898526166076,55.52302091844426,6.363168467194037,1.8497534978290715,9.650030966940815,2600.0,255,170,81,#FFAA51,,,,,2MASSW J1506544+132106,,L3,Brown dwarf
Gaia DR3 1776317182780536064,332.87693362037527,18.426998565560215,85.405993274552,11.708780164704963,329.0593443815216,180.63418389711623,-52.008277893066406,9.258272,2.3079243,10.225543,8.915713910574336,3260.19921875,,,native_gaia,Gaia,78.08153434594645,-30.188384242015164,2.0901423919065736,9.902618177878374,-5.887698272678062,3526.830291748047,255,201,142,#FFC98E,0.49943959218217154,-29.64897013057979,-42.0334962460644,22.2058354873838,Ross  271,,M2V,Main sequence
Gaia DR3 3060641356390249728,112.19128658651584,-3.301647006516706,85.2176772433136,11.734654503018183,439.4107055546798,-788.395834334682,1.0536835193634033,10.296098,2.5431643,11.446802,9.948746218286374,3124.49658203125,,,native_gaia,Gaia,220.16753257283924,6.76585291458405,-8.904724795515023,-7.516430525317557,1.382485001516925,3432.7342987060547,255,199,137,#FFC789,0.40961284035422635,31.680819550555196,-38.94532181672234,1.261341516094951,G 112-21,,M3V,Main sequence
