star_id,ra,dec,parallax_mas,dist_pc,pmra,pmdec,radial_velocity,g_mag,bp_rp,v_mag,abs_g,teff_gspphot,mass_flame,age_flame,phot_origin,source_catalogue,l,b,x_pc,y_pc,z_pc,teff_color,rgb_r,rgb_g,rgb_b,rgb_hex,mass_est,U,V,W,simbad_main_id,proper_name,sp_type,star_class,spurious_parallax
Gaia DR3 6423349579465419392,297.2764783945202,-70.1881455925042,17.63089741535809,56.718610314691674,-24.003742754413896,-38.80355121979887,-1.062214732170105,8.600409,0.83662224,8.758091,4.831780646662484,5848.349609375,,,native_gaia,Gaia,325.270885455599,-30.271455410059662,40.25842401880957,-27.906530585163047,-28.591705130176212,5720.8866176605225,255,240,232,#FFF0E8,0.9707625337356957,-3.518062140412579,-9.740982315713033,6.661118186099405,HD 186302,,G3/5V,Main sequence,False
Gaia DR3 1696214496522235008,237.3449205858127,71.59273656414824,17.630337239833818,56.7204124570351,-372.95971854557047,151.59413635763937,-64.77635192871094,10.976381,1.5965567,11.472217,7.207684400528539,4352.17822265625,0.6899959444999695,,native_gaia,Gaia,106.32133178578465,39.28285853160525,-12.337877422291701,42.13401176473775,35.912491178107224,4207.075388981746,255,217,175,#FFD9AF,0.6292315599471461,-64.35199487237514,-108.4649808461641,2.8390220844002636,G 239-59,,K4,Main sequence,False
HIP 77263,236.61759795228838,50.80009382447677,17.6299991607666,56.721500396728516,6.019999980926514,21.059999465942383,,8.510215,0.9655392,8.76,4.741476058959961,,,,transformed_from_johnson,Hipparcos,80.7001221737074,49.43206097838093,5.961291027825387,36.403921311997934,43.087656348976616,5324.466907739639,255,235,219,#FFEBDB,0.987082639946995,,,,HD 141373,,K0,Main sequence,False
Gaia DR3 2546769822454212992,2.6696247756321725,2.0556292970862224,17.62959923625995,56.72278686535509,-12.658896915070533,19.1472823727015,17.39795684814453,7.3998084,0.624465,7.498558,3.631020606029473,6297.76171875,1.201396107673645,3.048295259475708,native_gaia,Gaia,102.72834571734931,-59.20790077714632,-6.397859091816237,28.32419519367819,-48.72660377498294,6419.043128273704,255,248,252,#FFF8FC,1.1332024864064778,-1.4730091184856606,14.034497298689924,-11.901520063941184,HD    633,,F(6)V,Main sequence,False
Gaia DR3 774610378470973824,179.63180709818874,47.76541537508906,17.629568653561726,56.722885264578984,-130.07262734859765,3.838972113584825,0.9675581455230713,6.8402123,0.53652906,6.919473,3.0714207773885764,6630.078125,1.364254117012024,2.0468921661376953,native_gaia,Gaia,146.0326577686901,66.92015139699221,-18.441681163242922,12.423783066012035,52.18275311767821,6817.354679107666,249,245,255,#F9F5FF,1.248902897525713,-31.248658958538538,-14.336784006132294,-6.578380801150485,HD 103984,,F2,Main sequence,False
Gaia DR3 6772588591672712576,290.15888092395267,-22.402410836925522,17.628168296608465,56.72739125098964,-14.48381026632806,30.47009323426772,,5.529273,0.3732977,5.5802994,1.7603089735373842,7294.0732421875,1.7945220470428467,1.1743896007537842,native_gaia,Gaia,15.632209549985541,-16.16011441002771,52.470591555934035,14.681853851871848,-15.788511880018202,7633.511543273926,232,235,255,#E8EBFF,1.6973262023852214,,,,HD 181240,,A8III,Giant,False
Gaia DR3 3723077832008544384,211.61851968387694,9.234334102945278,17.628158082776334,56.727424119089,-135.95539755985106,-87.50953868711774,-27.29007339477539,11.936298,1.9053402,12.620267,8.167333052596348,,,,native_gaia,Gaia,351.1780939802952,64.81830136396187,23.851421213889633,-3.701733352308087,51.336220385348064,3819.0027748666157,255,208,156,#FFD09C,0.5618666827087802,-24.471417503631198,-39.59779299694765,-21.64160009836087,LSPM J1406+0914,,,Main sequence,False
Gaia DR3 4095149856741592704,271.9829909995071,-19.32483202631933,17.62790748377903,56.72823055828872,65.07003040782342,-7.35568641097717,-17.217744827270508,9.905472,1.1275473,10.170119,6.13647561447862,4955.736328125,0.8238933086395264,2.018070697784424,native_gaia,Gaia,10.863004186199653,0.4341061498663793,55.710096036656196,10.690772289169379,0.42980195675967,5025.145634737882,255,231,210,#FFE7D2,0.754528657828207,-18.064280550509444,3.4303436919001262,-16.385260993200482,HD 312658,,F0,Main sequence,False
Gaia DR3 1216500150307258112,236.2329654235571,21.44497978091484,17.624893509671008,56.73793146331846,44.70738522930271,131.90562907496493,-21.641399383544922,7.361931,0.62288475,7.4603043,3.5925633553994842,6285.87646484375,1.211514949798584,3.2514865398406982,native_gaia,Gaia,34.44478986619576,50.25069291504861,29.919018401060242,20.520351839905345,43.62293393411011,6424.272280606357,255,248,252,#FFF8FC,1.1381329031539122,-31.913683479002945,23.51764231052423,-17.32236643088568,HD 140812,,F5V,Main sequence,False
Gaia DR3 6786786654033670784,323.5667862283722,-28.488449542326844,17.62487687361202,56.73798501805143,55.04107089107477,-132.24763525418203,-19.38909339904785,9.917351,1.1584673,10.195069,6.147981227630318,,,,native_gaia,Gaia,19.17426183693594,-46.69036853033037,36.759827975657856,12.782613759850603,-41.28581810470937,4971.73831246116,255,230,206,#FFE6CE,0.7528028158554523,-16.373196104238627,-39.901833810435534,-0.2864787926279471,CD-29 17869,,,Main sequence,False
